tone,undertone,label,season,is_default,position,colour_name,hex
ivory,cool,"Cool","Cool Summer",true,1,"Navy",#1B2A4A
ivory,cool,"Cool","Cool Summer",true,2,"Slate Blue",#6A7FA8
ivory,cool,"Cool","Cool Summer",true,3,"Sage",#8A9778
ivory,cool,"Cool","Cool Summer",true,4,"Teal",#2A6B6B
ivory,cool,"Cool","Cool Summer",true,5,"Raspberry",#B3446C
ivory,cool,"Cool","Cool Summer",true,6,"Dusty Rose",#C08497
ivory,cool,"Cool","Cool Summer",true,7,"Icy Blue",#A8C8DC
ivory,cool,"Cool","Cool Summer",true,8,"Stone",#B8AC9C
ivory,warm,"Warm","Light Spring",false,1,"Coral",#E07A5F
ivory,warm,"Warm","Light Spring",false,2,"Peach",#E8A87C
ivory,warm,"Warm","Light Spring",false,3,"Camel",#C19A6B
ivory,warm,"Warm","Light Spring",false,4,"Turquoise",#30A5A5
ivory,warm,"Warm","Light Spring",false,5,"Tomato Red",#E2543E
ivory,warm,"Warm","Light Spring",false,6,"Golden Yellow",#E8B33C
ivory,warm,"Warm","Light Spring",false,7,"Warm Moss",#7D8C3C
ivory,warm,"Warm","Light Spring",false,8,"Warm Cream",#F5E9D0
ivory,neutral,"Neutral","Soft Summer",false,1,"Navy",#1B2A4A
ivory,neutral,"Neutral","Soft Summer",false,2,"Sage",#8A9778
ivory,neutral,"Neutral","Soft Summer",false,3,"Dusty Rose",#C08497
ivory,neutral,"Neutral","Soft Summer",false,4,"Teal",#2A6B6B
ivory,neutral,"Neutral","Soft Summer",false,5,"Raspberry",#B3446C
ivory,neutral,"Neutral","Soft Summer",false,6,"Slate Blue",#6A7FA8
ivory,neutral,"Neutral","Soft Summer",false,7,"Mauve",#9A7A9A
ivory,neutral,"Neutral","Soft Summer",false,8,"Stone",#B8AC9C
honey,warm,"Warm","Warm Spring",true,1,"Coral",#E07A5F
honey,warm,"Warm","Warm Spring",true,2,"Peach",#E8A87C
honey,warm,"Warm","Warm Spring",true,3,"Warm Moss",#7D8C3C
honey,warm,"Warm","Warm Spring",true,4,"Golden Yellow",#E8B33C
honey,warm,"Warm","Warm Spring",true,5,"Camel",#C19A6B
honey,warm,"Warm","Warm Spring",true,6,"Turquoise",#30A5A5
honey,warm,"Warm","Warm Spring",true,7,"Coral Pink",#E88D7D
honey,warm,"Warm","Warm Spring",true,8,"Warm Cream",#F5E9D0
honey,cool,"Cool","Soft Summer",false,1,"Navy",#1B2A4A
honey,cool,"Cool","Soft Summer",false,2,"Sage",#8A9778
honey,cool,"Cool","Soft Summer",false,3,"Dusty Rose",#C08497
honey,cool,"Cool","Soft Summer",false,4,"Teal",#2A6B6B
honey,cool,"Cool","Soft Summer",false,5,"Raspberry",#B3446C
honey,cool,"Cool","Soft Summer",false,6,"Slate Blue",#6A7FA8
honey,cool,"Cool","Soft Summer",false,7,"Plum",#5C2A4D
honey,cool,"Cool","Soft Summer",false,8,"Stone",#B8AC9C
honey,neutral,"Neutral","Soft Autumn",false,1,"Teal",#2A6B6B
honey,neutral,"Neutral","Soft Autumn",false,2,"Navy",#1B2A4A
honey,neutral,"Neutral","Soft Autumn",false,3,"Camel",#C19A6B
honey,neutral,"Neutral","Soft Autumn",false,4,"Sage",#8A9778
honey,neutral,"Neutral","Soft Autumn",false,5,"Terracotta",#C4622D
honey,neutral,"Neutral","Soft Autumn",false,6,"Mustard",#C8921A
honey,neutral,"Neutral","Soft Autumn",false,7,"Dusty Rose",#C08497
honey,neutral,"Neutral","Soft Autumn",false,8,"Stone",#B8AC9C
golden,warm,"Warm","Warm Autumn",true,1,"Mossy Green",#6B7C4A
golden,warm,"Warm","Warm Autumn",true,2,"Mustard",#C8921A
